BuffName,Enhance,Duration,Repeat,BuffWorkFunction
Night,Temperature:-5,-1,0,1
Metabolic,Hunger:1;Thirst:1,-1,1,2;50;1;10;1
equip_ColdStone,Temperature:-10,-1,0,1
equip_Torch,NightVision:8,-1,0,1
equip_Bow,ATK:20;AttackDistance:10,-1,0,1
equip_Spear,ATK:30;AttackDistance:2,-1,0,1
equip_WarmStone,Temperature:10,-1,0,1
equip_LeatherArmor,DEF:10,-1,0,1
equip_WoodArmor,DEF:40,-1,0,1
consume_Meat,HP:10;Hunger:20,0,0,0
consume_Water,HP:10;Thirst:20,0,0,0
consume_Apple,HP:20;Hunger:15;Thirst:10,0,0,0
consume_Ice,Temperature:-2;Thirst:3,5,1,0
weather_Sunny,Vision:1,-1,0,1
weather_Rainy,Vision:-1;Temperature:-10,-1,0,1
weather_Snowy,Vision:-2;Temperature:-20,-1,0,1
weather_Hot,Temperature:20,-1,0,1
landform_Desert,Speed:-1,2,0,1
landform_Grassland,Vision:1,-1,0,1
landform_Forest,Speed:-1;Vision:-1,-1,0,1
